1,HongKong,China,29,262,700
2,Bangkok,Thailand,24,177,500
3,London,UnitedKingdom,19,233,000
4,Macau,China,18,931,400
5,Singapore,Singapore,18,551,200
6,Paris,France,17,560,200
7,Dubai,UnitedArabEmirates,15,920,700
8,NewYorkCity,UnitedStates,13,600,000
9,KualaLumpur,Malaysia,13,434,300
10,Istanbul,Turkey,13,433,000
11,Delhi,India,12,645,300
12,Antalya,Turkey,12,438,800
13,Shenzhen,China,12,202,100
14,Mumbai,India,10,590,100
15,Phuket,Thailand,10,550,700
16,Rome,Italy,10,065,400
17,Tokyo,Japan,9,985,100
18,Pattaya,Thailand,9,606,400
19,Taipei,Taiwan,9,597,800
20,Mecca,SaudiArabia,9,565,200
21,Guangzhou,China,9,004,800
22,Prague,CzechRepublic,8,948,600
23,Medina,SaudiArabia,8,547,200
24,Seoul,SouthKorea,8,431,400
25,Amsterdam,Netherlands,8,354,200
26,Agra,India,8,138,200
27,Miami,UnitedStates,8,121,300
28,Osaka,Japan,7,861,500
29,LasVegas,UnitedStates,7,500,000
30,Shanghai,China,7,483,500
31,HoChiMinhCity,Vietnam,7,200,000
32,Denpasar,Indonesia,7,185,600
33,Barcelona,Spain,6,714,500
34,LosAngeles,UnitedStates,6,591,300
35,Milan,Italy,6,481,300
36,Chennai,India,6,422,800
37,Vienna,Austria,6,410,300
38,JohorBahru,Malaysia,6,396,000
39,Jaipur,India,6,383,400
40,Cancún,Mexico,6,041,000
41,Berlin,Germany,5,959,400
42,Cairo,Egypt,5,754,500
43,Athens,Greece,5,728,400
44,Orlando,UnitedStates,5,553,600
45,Moscow,Russia,5,510,000
46,Venice,Italy,5,502,500
47,Madrid,Spain,5,440,100
48,HaLong,Vietnam,5,294,800
49,Riyadh,SaudiArabia,5,267,500
50,Dublin,Ireland,5,213,400
